,seccion,bastion_MORENA_01,Prioridad
1038,1309,0.0,Media baja
1039,708,0.0,Media baja
1040,65,0.0,Media baja
1041,1327,0.0,Media baja
1042,1280,0.0,Media baja
1043,938,0.0,Media baja
1044,921,0.0,Media baja
1045,878,0.0,Media baja
1046,174,0.0,Media baja
1047,1363,0.0,Media baja
1048,506,0.0,Media baja
1049,2,0.0,Media baja
1050,59,0.0,Media baja
1051,549,0.0,Media baja
1052,1479,0.0,Media baja
1053,1370,0.0,Media baja
1054,981,0.0,Media baja
1055,816,0.0,Media baja
1056,445,0.0,Media baja
1057,493,0.0,Media baja
1058,868,0.0,Media baja
1059,1432,0.0,Media baja
1060,1544,1.0,Media baja
1061,982,1.0,Media baja
